ligne	Treatment	Rep	StartingDate	EndingDate	Day	PHT	lig	app	MnbLeafMainstem	tillerNb_1	AreaLFEL	biomAero2	MbiomLeafMainstem	biomInMainstem	MpanicleDWmainstem
1	2	1	23/05/2016	10/09/2016	21	NA	0.333333333	0.333333333		0.78173596	NA	NA	NA	NA	NA
1	2	1	23/05/2016	10/09/2016	28	NA	0	0.333333333	0.333333333	0.78173596	17.47370409	NA	NA	NA	NA
1	2	1	23/05/2016	10/09/2016	35	3.674234614	0.5	0.527046277	0.726483157	NA	NA	NA	NA	NA	NA
1	2	1	23/05/2016	10/09/2016	42	9.257236552	0.707106781	0.666666667	0.927960727	1.130388331	45.55481952	NA	NA	NA	NA
1	2	1	23/05/2016	10/09/2016	45	NA	NA	NA	NA	NA	NA	1.668443497	0.864313043	0.665832812	NA
1	2	1	23/05/2016	10/09/2016	49	15.13164455	0.78173596	0.971825316	0.78173596	NA	NA	NA	NA	NA	NA
1	2	1	23/05/2016	10/09/2016	56	14.07542706	0.84016805	0.84016805	0.685994341	NA	15.49665858	NA	NA	NA	NA
1	2	1	23/05/2016	10/09/2016	59	NA	NA	NA	NA	0	NA	3.495518162	2.610074519	1.401392142	NA
1	2	1	23/05/2016	10/09/2016	63	16.5715233	0.832050294	0.832050294	0.69798244	NA	NA	NA	NA	NA	NA
1	2	1	23/05/2016	10/09/2016	70	20.74715509	0.866025404	1.054092553	0.726483157	NA	42.65152644	NA	NA	NA	NA
1	2	1	23/05/2016	10/09/2016	77	25.54407955	0.881917104	1.201850425	1.322875656	NA	NA	NA	NA	NA	NA
1	2	1	23/05/2016	10/09/2016	85	27.74887385	1.166666667	1.414213562	1.333333333	NA	42.65152644	NA	NA	NA	NA
1	2	1	23/05/2016	10/09/2016	91	NA	1.112697281	1.112697281	1.214985793	NA	NA	NA	NA	NA	NA
1	2	1	23/05/2016	10/09/2016	105	57.94345903	2.291287847	1.364225462	0.866025404	0	NA	NA	NA	NA	NA
1	2	1	23/05/2016	10/09/2016	110	NA	NA	NA	NA	NA	NA	6.517944702	1.453197118	3.827587124	2.073147074
